"periods","CETs","GECs","HBCM","GDCM"
1,-0.0361557208955051,-0.493532920099884,-0.0388087562854581,-0.0220283582321007
2,-0.0438599662139289,-0.466686473463449,-0.0409569429605565,-0.0225613698926242
3,-0.0519131911805293,-0.440562491923975,-0.0429069828937402,-0.0230016836618175
4,-0.0598841269178349,-0.407460149685049,-0.0440724650939504,-0.022843102788311
5,-0.0674116212374813,-0.370516519786285,-0.0444620312604189,-0.0223615639528145
6,-0.0742275035400869,-0.334179770176969,-0.0445003818167314,-0.0219857867499211
7,-0.0802467639908229,-0.305122803654427,-0.0464131466576469,-0.0236156372273798
8,-0.0852071636260653,-0.273334907723496,-0.0466374438451759,-0.0239161193059929
9,-0.0889023480178267,-0.235165673976784,-0.0464557172196066,-0.024012116302521
10,-0.0913956307345294,-0.20497499023933,-0.0479297954692631,-0.026050396144852
11,-0.092748120595407,-0.183477054642138,-0.0494753282705586,-0.0281507659985826
12,-0.0928437091098275,-0.15580923902511,-0.0498922642561336,-0.0292452833292803
13,-0.091830874958204,-0.134147802262853,-0.0509203896926622,-0.0309657578236117
14,-0.0897204622871284,-0.11049134316976,-0.0520006216786024,-0.0326854332223139
15,-0.0868210802075677,-0.0980480352751057,-0.0544690657204201,-0.0359538804539381
16,-0.0832408979966429,-0.085035211575991,-0.0569614263853062,-0.0387990561663126
17,-0.0791906752076922,-0.0773439480628905,-0.0594812547545875,-0.0408803681280542
18,-0.0748078537722691,-0.0710231474644978,-0.0611990046008779,-0.0421143645021357
19,-0.0701846194277672,-0.060253298452139,-0.0629500423569844,-0.0427592108619604
20,-0.0656136243870176,-0.0587045949651476,-0.0650570759494505,-0.0443556709213282
21,-0.0611028703340138,-0.0577374119435564,-0.0650839269453928,-0.0433801017312023
22,-0.0567949764954099,-0.0567549515306299,-0.0654884342773016,-0.0429526421812023
23,-0.0527177511016729,-0.0506618541363729,-0.0657707570265419,-0.0423385471041609
24,-0.0490149513215501,-0.0499355072375965,-0.0662868493189717,-0.041784105295866
25,-0.0456763884787046,-0.0480190267825784,-0.0657773615315356,-0.0403618109598626
26,-0.042821347385218,-0.0502145987223304,-0.0650927845784685,-0.0393840510327724
27,-0.0405658974104193,-0.0561706308837225,-0.0655309025569323,-0.0394589705665161
28,-0.0387640686402365,-0.0526582234654212,-0.0647757745093835,-0.0377635316899352
29,-0.0375031929891959,-0.0482675733011817,-0.0649042700795143,-0.0371146654702194
30,-0.0367608929854202,-0.0507991758240629,-0.0636347474531142,-0.0352993931562389
31,-0.0364013447377796,-0.0477001275720681,-0.0613124261347818,-0.0323791896026986
32,-0.0362898476237717,-0.0383871846500884,-0.0590207162220841,-0.0294244040562969
33,-0.0364533237008841,-0.0373508610700346,-0.0563443016139033,-0.026555219521454
34,-0.0365849878882849,-0.0287222636505701,-0.0512639607018381,-0.0218399589938464
35,-0.0368020997316154,-0.0255220888436035,-0.0480809497608737,-0.0196494010254208
36,-0.0367355097343856,-0.0122198478063798,-0.0420848405425617,-0.0145641367254491
37,-0.0366487237590573,-0.0142440719424045,-0.0396461694568916,-0.0139008024857924
38,-0.0365255293156976,-0.0193032383280521,-0.0370528749247618,-0.013994868527509
39,-0.0361302392696288,-0.00952584812370786,-0.0339518288920562,-0.0132675594774489
40,-0.0355701852388394,-0.00660087116130247,-0.0308458539808517,-0.0123546587196496
41,-0.0348560052614502,-0.00381945788334548,-0.0292941522673119,-0.013171561229793
42,-0.0340365299657687,-0.0061060608781332,-0.0271148453118989,-0.0135617684844371
43,-0.0329770040010622,-0.0018997111707676,-0.0237821584548336,-0.0125634723065474
44,-0.0318287319622257,-0.00321790383423496,-0.0214899656794641,-0.0129702974668672
45,-0.0305622638855769,-0.00729520087342821,-0.0179108081637846,-0.0128177042232034
46,-0.0291426794633025,-0.00430720592482276,-0.01583363770269,-0.0128475677817273
47,-0.0276534345826616,-0.00436768959988854,-0.0145923869658427,-0.0140706936719425
48,-0.0259998130843491,0.000714897912686128,-0.0125069161889279,-0.0136342826662094
49,-0.0242539099123862,0.00180655189338876,-0.0107632329488334,-0.0135611947196844
50,-0.0224788275627834,-0.00457482643342799,-0.00799677675567112,-0.0128934193232405
51,-0.0206804463862704,-0.00647546908649609,-0.00632691112276072,-0.0127930204441914
52,-0.0189511596766455,-0.0112980873430089,-0.00549230352323553,-0.0135774928798819
53,-0.0172078394583415,-0.0085010810006675,-0.00490583417780183,-0.0138240065684439
54,-0.0155651348803034,-0.00635311361748635,-0.00529473744120921,-0.0156765895546431
55,-0.0139312647674432,-0.0051496935362042,-0.00363272346537619,-0.0141844404875393
56,-0.0125318773717693,-0.0110346631878417,-0.00502410081639435,-0.0155425579277401
57,-0.0113537915883923,-0.0194974177842411,-0.0057900663258302,-0.0155814290364009
58,-0.0105837856176416,-0.0316943429748333,-0.00644173342085752,-0.0169476905656803
59,-0.00987866731893834,-0.0248968564625053,-0.00516013484566733,-0.0148080185136301
60,-0.00933079762395544,-0.0242921391927073,-0.00366812002133331,-0.012453900250489
61,-0.00895033076181496,-0.0279197008675645,-0.00149251250067859,-0.0108901188122972
62,-0.0087518239177782,-0.0325139915901953,-0.0021545915544297,-0.0107691564534463
63,-0.00850734041781758,-0.0286836718684758,0.000273901708543524,-0.00794827872047593
64,-0.00812401000958693,-0.019867407968335,0.00297404399056642,-0.00385516204357083
65,-0.00785769811079974,-0.0185372768483719,0.000255058679231378,-0.00635864766938033
66,-0.00755626247066768,-0.0172508136321505,0.000460964700362531,-0.00584703322322019
67,-0.0069989351721321,-0.00696213673430067,0.00199986676530072,-0.00236081630306691
68,-0.00634453290196593,-0.00366878818640804,0.00212554312950146,-0.00216129189422337
69,-0.00560221054103957,-0.000847650486810739,0.00201947156735353,-0.00252775136158669
70,-0.00474266445350143,0.00557072607449035,0.00080836102025586,-0.00363625600100071
71,-0.00361668481860998,0.016621823209119,0.00168177654996705,-0.00254335117885708
72,-0.00251040304229476,0.0156679586073971,0.000432766535651074,-0.0042925166939022
73,-0.00108941243269891,0.0255309420836515,0.00235986854509066,-0.00211170402139806
74,0.000292639397147689,0.0247905090003585,0.00105537199809947,-0.00457619552366021
75,0.0019893824416765,0.0356993776107568,0.00306388471059777,-0.00115435693767543
76,0.00370028793533006,0.0337835720563564,0.00268065594630521,-0.00149387935493803
77,0.00526980679759741,0.0267893114295464,0.00056713378723239,-0.00421519181169539
78,0.00690769554914618,0.0322950309826119,0.000869220961220203,-0.00347241515156327
79,0.00825327406827106,0.0252087569354425,-0.00161814401898449,-0.00620407139627707
80,0.00961228127648556,0.030604177327733,-0.000313122843994894,-0.00399724391249458
81,0.0107736031237394,0.0279288597489794,-0.000641803922170677,-0.00368879317863489
82,0.0114063179397502,0.0157273580945879,-0.00687363302628899,-0.00714741638883615
83,0.0117932053715738,0.0132568318251514,-0.00759182605091423,-0.00663734607968952
84,0.0116608185723459,0.00692698636333242,-0.0106621506948441,-0.00871239873728905
85,0.0113074084374895,0.00639541923417387,-0.00875985641232639,-0.00552981359733049
86,0.0104985372431785,-0.00259598913362404,-0.00921528376609182,-0.00527639361668387
87,0.00951960383379755,0.000267351305444033,-0.00778839778676086,-0.00225993845391635
88,0.00722348894598606,-0.00242927747898573,-0.034744589717196,-0.0278439387889293
89,0.00453492072669621,-0.0124451012350959,-0.0334277431131493,-0.0228932659022933
90,0.00149787407673229,-0.0066876331925312,-0.0326011334455983,-0.0182181083138366
91,-0.00192739099453618,-0.00888476062423666,-0.0302413313523591,-0.0141265202401691
92,-0.00547254985761677,-0.00713610542903181,-0.027162691202545,-0.00931281698427087
93,-0.00911911776411698,-0.0079409382464958,-0.0250366989013778,-0.00610778728722689
94,-0.0127647970431839,-0.0127523077915134,-0.0215463462283736,-0.00242518535343418
95,-0.0163595392485242,-0.0134434962250094,-0.0193105277478167,-0.00128387309447732
96,-0.0198762323224463,-0.020231449655778,-0.0169214164928529,0.000622426351786423
97,-0.0233484848562008,-0.0276013802596114,-0.0182186627322449,3.14624277483561e-05
98,-0.0266500384234572,-0.0281987718890246,-0.017524938292083,-0.000407841326153527
99,-0.0298791278751366,-0.0352512751210464,-0.015864226726746,-0.000778899091502582
100,-0.0332276751531796,-0.0368313826101341,-0.0253998400589282,-0.00995616386400454
